"Date","Price","Open","High","Low","Vol.","Change %"
"17/12/2025","296.72","308.01","308.09","296.12","43.93M","-3.21%"
"16/12/2025","306.57","304.95","310.77","302.59","30.59M","-0.54%"
"15/12/2025","308.22","311.32","311.42","304.88","29.15M","-0.35%"
"12/12/2025","309.29","313.70","314.87","305.56","35.94M","-1.01%"
"11/12/2025","312.43","320.08","321.12","308.60","42.35M","-2.43%"
"10/12/2025","320.21","315.83","321.31","314.68","33.43M","0.99%"
"09/12/2025","317.08","312.37","317.99","311.89","30.19M","1.07%"
"08/12/2025","313.72","320.05","320.44","311.22","33.91M","-2.35%"
"05/12/2025","321.27","319.49","323.16","319.17","28.85M","1.15%"
"04/12/2025","317.62","322.23","322.36","314.70","31.24M","-0.63%"
"03/12/2025","319.63","315.89","321.58","314.10","41.84M","1.21%"
"02/12/2025","315.81","316.74","318.38","313.91","35.85M","0.29%"
"01/12/2025","314.89","317.70","319.85","313.89","41.18M","-1.65%"
"28/11/2025","320.18","323.36","326.85","316.79","26.02M","0.07%"
"26/11/2025","319.95","320.68","324.50","316.79","51.37M","-1.08%"
"25/11/2025","323.44","326.21","328.83","317.65","88.63M","1.53%"
"24/11/2025","318.58","311.13","319.48","309.60","85.17M","6.31%"
"21/11/2025","299.66","296.42","303.92","293.85","74.14M","3.53%"
"20/11/2025","289.45","304.54","306.42","288.67","62.03M","-1.15%"
"19/11/2025","292.81","287.16","303.81","286.63","68.20M","3.00%"
"18/11/2025","284.28","287.92","288.80","278.20","49.16M","-0.26%"
"17/11/2025","285.02","285.77","293.95","283.57","52.67M","3.11%"
"14/11/2025","276.41","271.40","278.56","270.70","31.65M","-0.78%"
"13/11/2025","278.57","282.34","282.84","277.24","29.49M","-2.84%"
"12/11/2025","286.71","291.67","292.01","283.69","24.83M","-1.58%"
"11/11/2025","291.31","287.74","291.92","287.32","19.84M","0.42%"
"10/11/2025","290.10","284.42","290.80","282.86","29.56M","4.04%"
"07/11/2025","278.83","283.20","283.78","275.19","34.48M","-2.08%"
"06/11/2025","284.75","285.33","288.35","281.14","37.17M","0.15%"
"05/11/2025","284.31","278.87","286.42","277.34","31.01M","2.44%"
"04/11/2025","277.54","276.75","281.27","276.26","30.08M","-2.18%"
"03/11/2025","283.72","282.17","285.53","279.80","29.79M","0.90%"
"31/10/2025","281.19","283.21","286.00","277.03","39.27M","-0.10%"
"30/10/2025","281.48","291.59","291.59","280.06","74.88M","2.52%"
"29/10/2025","274.57","267.75","275.34","267.67","43.58M","2.65%"
"28/10/2025","267.47","269.69","270.73","266.50","29.74M","-0.67%"
"27/10/2025","269.27","264.82","270.14","264.28","35.24M","3.60%"
"24/10/2025","259.92","256.58","261.68","255.32","28.66M","2.70%"
"23/10/2025","253.08","252.98","255.04","251.85","19.90M","0.55%"
"22/10/2025","251.69","254.37","256.36","249.29","35.03M","0.49%"
"21/10/2025","250.46","254.74","254.88","244.15","47.31M","-2.37%"
"20/10/2025","256.55","254.69","257.33","254.23","22.35M","1.28%"
"17/10/2025","253.30","250.76","254.22","247.81","29.67M","0.73%"
"16/10/2025","251.46","251.76","256.96","250.10","28.00M","0.17%"
"15/10/2025","251.03","247.24","252.11","245.99","27.01M","2.27%"
"14/10/2025","245.45","241.23","247.12","240.51","22.11M","0.53%"
"13/10/2025","244.15","240.21","244.50","239.71","25.00M","3.20%"
"10/10/2025","236.57","241.43","244.09","235.84","33.18M","-2.05%"
"09/10/2025","241.53","244.47","244.76","239.15","27.89M","-1.26%"
"08/10/2025","244.62","244.96","246.01","243.82","21.31M","-0.46%"
"07/10/2025","245.76","248.27","250.44","245.52","23.18M","-1.86%"
"06/10/2025","250.43","244.78","251.32","244.58","28.89M","2.07%"
"03/10/2025","245.35","244.49","246.30","241.65","30.25M","-0.14%"
"02/10/2025","245.69","245.15","246.81","242.30","25.48M","0.32%"
"01/10/2025","244.90","240.75","246.30","238.61","31.66M","0.74%"
"30/09/2025","243.10","242.81","243.29","239.24","34.72M","-0.39%"
"29/09/2025","244.05","247.85","251.15","242.77","32.51M","-1.01%"
"26/09/2025","246.54","247.07","249.42","245.97","18.50M","0.31%"
"25/09/2025","245.79","244.40","246.49","240.74","31.02M","-0.55%"
"24/09/2025","247.14","251.66","252.35","246.44","28.20M","-1.80%"
"23/09/2025","251.66","253.04","254.36","250.48","26.63M","-0.34%"
"22/09/2025","252.53","254.43","255.78","250.30","32.29M","-0.86%"
"19/09/2025","254.72","253.25","256.00","251.81","55.57M","1.07%"
"18/09/2025","252.03","251.68","253.99","249.80","31.24M","1.00%"
"17/09/2025","249.53","251.22","251.60","246.28","34.11M","-0.65%"
"16/09/2025","251.16","252.08","253.04","249.47","34.11M","-0.18%"
"15/09/2025","251.61","244.66","252.41","244.66","58.38M","4.49%"
"12/09/2025","240.80","240.37","242.07","238.00","26.77M","0.18%"
"11/09/2025","240.37","239.88","242.25","236.25","30.60M","0.50%"
"10/09/2025","239.17","238.90","241.66","237.85","35.14M","-0.19%"
"09/09/2025","239.63","234.16","240.47","233.23","38.06M","2.39%"
"08/09/2025","234.04","235.47","238.13","233.67","32.47M","-0.41%"
"05/09/2025","235.00","232.20","235.76","231.90","46.59M","1.16%"
"04/09/2025","232.30","229.65","232.37","226.11","51.68M","0.71%"
"03/09/2025","230.66","226.21","231.31","224.79","103.34M","9.14%"
"02/09/2025","211.35","208.44","211.68","206.20","47.52M","-0.73%"
"29/08/2025","212.91","210.51","214.65","210.20","39.73M","0.60%"
"28/08/2025","211.64","207.25","212.22","206.90","32.34M","2.01%"
"27/08/2025","207.48","205.70","208.91","205.65","23.02M","0.16%"
"26/08/2025","207.14","207.51","207.85","205.70","28.46M","-0.65%"
"25/08/2025","208.49","206.43","210.52","205.28","29.93M","1.16%"
"22/08/2025","206.09","202.73","208.54","201.30","42.83M","3.17%"
"21/08/2025","199.75","199.74","202.48","199.43","19.77M","0.22%"
"20/08/2025","199.32","200.73","201.28","196.60","28.96M","-1.12%"
"19/08/2025","201.57","203.03","203.44","199.96","24.24M","-0.95%"
"18/08/2025","203.50","204.20","205.26","202.49","18.53M","-0.20%"
"15/08/2025","203.90","203.85","206.44","201.28","34.93M","0.47%"
"14/08/2025","202.94","201.50","204.44","201.23","25.23M","0.49%"
"13/08/2025","201.96","204.13","204.53","197.51","28.34M","-0.68%"
"12/08/2025","203.34","201.37","204.50","200.59","30.42M","1.16%"
"11/08/2025","201.00","200.93","201.48","199.07","25.83M","-0.21%"
"08/08/2025","201.42","197.22","202.61","197.17","39.16M","2.49%"
"07/08/2025","196.52","197.06","197.54","194.33","26.32M","0.22%"
"06/08/2025","196.09","194.50","196.63","193.67","21.56M","0.73%"
"05/08/2025","194.67","194.71","197.86","193.88","31.60M","-0.19%"
"04/08/2025","195.04","190.29","195.27","190.12","31.55M","3.12%"
"01/08/2025","189.13","189.02","190.83","187.82","34.83M","-1.44%"
"31/07/2025","191.90","195.71","195.99","191.09","51.33M","-2.36%"
"30/07/2025","196.53","195.60","197.60","194.68","32.45M","0.40%"
